salary,hours_per_week,weeks_per_year
15000,40,52
18000,40,52
20000,40,52
22000,40,52
24000,40,52
25000,40,52
26000,40,52
28000,40,52
30000,40,52
32000,40,52
34000,40,52
35000,40,52
36000,40,52
38000,40,52
40000,40,52
42000,40,52
44000,40,52
45000,40,52
46000,40,52
48000,40,52
50000,40,52
52000,40,52
55000,40,52
58000,40,52
60000,40,52
62000,40,52
65000,40,52
68000,40,52
70000,40,52
72000,40,52
75000,40,52
78000,40,52
80000,40,52
85000,40,52
90000,40,52
95000,40,52
100000,40,52
105000,40,52
110000,40,52
120000,40,52
130000,40,52
140000,40,52
150000,40,52
160000,40,52
175000,40,52
200000,40,52
